[2024-09-14 21:34:31,688: INFO: main: Hello and welcome to my custome logging]
[2024-09-28 16:42:45,912: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-28 16:42:45,915: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-28 16:44:33,230: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-28 16:44:33,234: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-28 16:44:33,236: INFO: common: created directory at: <class 'pathlib.Path'>]
[2024-09-28 16:44:33,238: INFO: common: created directory at: <class 'pathlib.Path'>]
[2024-09-28 16:51:03,372: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-28 16:51:03,374: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-28 16:51:03,376: INFO: common: created directory at: <class 'pathlib.Path'>]
[2024-09-28 16:51:03,377: INFO: common: created directory at: <class 'pathlib.Path'>]
[2024-09-28 16:51:30,402: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-28 16:51:30,405: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-28 16:51:30,406: INFO: common: created directory at: <class 'pathlib.Path'>]
[2024-09-28 16:51:30,408: INFO: common: created directory at: <class 'pathlib.Path'>]
[2024-09-28 16:55:29,521: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-28 16:55:29,525: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-28 16:55:29,527: INFO: common: created directory at: <class 'pathlib.Path'>]
[2024-09-28 16:55:29,529: INFO: common: created directory at: <class 'pathlib.Path'>]
[2024-09-28 20:26:00,447: INFO: main: >>>> stage Data Ingestion Stage started <<<<]
[2024-09-28 20:26:00,453: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-28 20:26:00,456: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-28 20:26:00,470: INFO: common: created directory at: <class 'pathlib.Path'>]
[2024-09-28 20:26:00,472: INFO: common: created directory at: <class 'pathlib.Path'>]
[2024-09-28 20:26:00,487: INFO: main: >>>> stage Data Ingestion Stage completed <<<<]
[2024-09-28 20:32:12,031: INFO: main: >>>> stage Data Ingestion Stage started <<<<]
[2024-09-28 20:32:12,033: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-28 20:32:12,034: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-28 20:32:12,035: INFO: common: created directory at: <class 'pathlib.Path'>]
[2024-09-28 20:32:12,035: INFO: common: created directory at: <class 'pathlib.Path'>]
[2024-09-28 20:32:12,036: INFO: main: >>>> stage Data Ingestion Stage completed <<<<]
[2024-09-28 20:37:20,701: INFO: main: >>>> stage Data Ingestion Stage started <<<<]
[2024-09-28 20:37:20,706: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-28 20:37:20,709: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-28 20:37:20,710: INFO: common: created directory at: <class 'pathlib.Path'>]
[2024-09-28 20:37:20,712: INFO: common: created directory at: <class 'pathlib.Path'>]
[2024-09-28 20:37:20,713: INFO: main: >>>> stage Data Ingestion Stage completed <<<<]
[2024-09-28 20:54:42,005: INFO: main: >>>> stage Data Ingestion Stage started <<<<]
[2024-09-28 20:54:42,006: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-28 20:54:42,007: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-28 20:54:42,008: INFO: common: created directory at: <class 'pathlib.Path'>]
[2024-09-28 20:54:42,008: INFO: common: created directory at: <class 'pathlib.Path'>]
[2024-09-28 20:54:42,009: INFO: main: >>>> stage Data Ingestion Stage completed <<<<]
